,OCCUR_DATE,BORO,0
220,2019-06-04,Bk,2
221,2019-06-04,Bx,2
222,2019-06-05,Bx,2
223,2019-06-05,Q,1
224,2019-06-06,Bk,2
225,2019-06-07,Bk,5
226,2019-06-07,Bx,4
227,2019-06-07,M,1
228,2019-06-08,Bk,2
229,2019-06-08,M,2
230,2019-06-08,SI,1
231,2019-06-09,Bx,2
232,2019-06-09,M,1
233,2019-06-09,Q,1
234,2019-06-10,Bk,2
235,2019-06-10,M,1
236,2019-06-11,Bk,1
237,2019-06-12,Bk,3
238,2019-06-12,Bx,1
239,2019-06-12,SI,1
240,2019-06-13,Bk,1
241,2019-06-13,M,1
242,2019-06-14,Bk,1
243,2019-06-14,Bx,1
244,2019-06-15,M,2
245,2019-06-17,Bk,2
246,2019-06-17,Bx,1
247,2019-06-18,Bk,1
248,2019-06-19,Bk,1
249,2019-06-19,M,1
250,2019-06-20,Bk,4
251,2019-06-21,Bx,1
252,2019-06-22,Bk,1
253,2019-06-22,Bx,2
254,2019-06-23,Bk,1
255,2019-06-23,Bx,6
256,2019-06-23,M,1
257,2019-06-24,Bk,1
258,2019-06-24,Bx,1
259,2019-06-24,M,1
260,2019-06-25,Bk,1
261,2019-06-25,Bx,3
262,2019-06-25,Q,2
263,2019-06-26,Bk,1
264,2019-06-26,Q,1
265,2019-06-27,Bx,2
266,2019-06-27,Q,1
267,2019-06-28,Bk,4
268,2019-06-28,Bx,1
269,2019-06-28,Q,1
270,2019-06-29,Bk,4
271,2019-06-30,Bx,1
272,2019-06-30,M,1
273,2019-06-30,Q,1
274,2019-06-30,SI,1
275,2019-07-01,Bx,1
276,2019-07-01,M,1
277,2019-07-02,Bk,1
278,2019-07-03,Q,6
279,2019-07-04,Bk,2
280,2019-07-04,Bx,1
281,2019-07-05,Bk,3
282,2019-07-05,Bx,9
283,2019-07-05,M,2
284,2019-07-05,Q,1
285,2019-07-06,Bk,1
286,2019-07-06,M,1
287,2019-07-07,Bk,1
288,2019-07-07,Q,1
289,2019-07-07,SI,1
290,2019-07-08,Bk,2
291,2019-07-08,Bx,2
292,2019-07-09,Q,1
293,2019-07-10,Bk,2
294,2019-07-11,Bx,2
295,2019-07-12,Q,3
296,2019-07-13,Bk,1
297,2019-07-13,Bx,2
298,2019-07-13,M,6
299,2019-07-14,Bk,4
300,2019-07-14,Bx,1
301,2019-07-14,M,1
302,2019-07-15,Bk,1
303,2019-07-15,M,3
304,2019-07-16,M,2
305,2019-07-17,M,1
306,2019-07-17,Q,1
307,2019-07-19,Bx,4
308,2019-07-20,Q,1
309,2019-07-21,Bk,2
