INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
198595258,2019-06-17,14:47:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,True,,,,25-44,M,BLACK,1001727.1875,191634.96875,40.69266145300002,-73.93697772699994,POINT (-73.93697772699994 40.69266145300003)
194817571,2019-03-17,03:37:00,MANHATTAN,25,0,,False,18-24,M,BLACK,18-24,M,BLACK,1001547.0625,229775.90625,40.79734911000003,-73.93752918499996,POINT (-73.93752918499996 40.79734911000003)
193517125,2019-02-12,18:10:00,QUEENS,102,0,,False,25-44,M,BLACK,25-44,M,WHITE,1032234.0,192287.0,40.69433830500003,-73.82696399999996,POINT (-73.82696399999998 40.69433830500003)
199467225,2019-07-08,17:40:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,25-44,M,BLACK,1002948.4375,182617.640625,40.66790844000008,-73.93259885099997,POINT (-73.93259885099998 40.667908440000076)
200994119,2019-08-11,02:17:00,MANHATTAN,13,0,BAR/NIGHT CLUB,False,,,,18-24,M,BLACK,986432.0625,209221.84375,40.74095020200008,-73.99212710599994,POINT (-73.99212710599994 40.74095020200008)
195978521,2019-04-13,06:04:00,QUEENS,103,0,,True,,,,45-64,M,BLACK,1042297.5625,192834.703125,40.69578133400006,-73.79066870299994,POINT (-73.79066870299994 40.69578133400006)
195978522,2019-04-13,01:50:00,QUEENS,110,0,,True,,,,25-44,M,WHITE HISPANIC,1022285.0,212504.0,40.74987737400005,-73.86272726099997,POINT (-73.86272726099997 40.74987737400005)
195604250,2019-04-04,22:35:00,BROOKLYN,67,0,,False,25-44,M,BLACK,25-44,M,BLACK,1004757.0,178619.0,40.656929053000056,-73.92609165799996,POINT (-73.92609165799996 40.656929053000056)
199728579,2019-07-13,02:45:00,MANHATTAN,9,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,25-44,M,BLACK,990310.8125,201885.84375,40.72081286900004,-73.97813658799998,POINT (-73.97813658799998 40.72081286900004)
192545747,2019-01-19,19:30:00,MANHATTAN,23,0,,False,,,,<18,M,WHITE HISPANIC,998810.9375,229459.28125,40.79648499300004,-73.94741200599998,POINT (-73.94741200599998 40.796484993000036)
200408150,2019-07-29,02:18:00,BROOKLYN,81,0,,False,18-24,M,BLACK,25-44,M,BLACK,1003079.875,186816.9375,40.67943428600006,-73.93211332599996,POINT (-73.93211332599998 40.67943428600006)
196195743,2019-04-18,21:54:00,MANHATTAN,7,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK HISPANIC,989020.625,200767.453125,40.717743945000045,-73.98279183299996,POINT (-73.98279183299996 40.71774394500005)
192455949,2019-01-17,13:18:00,BRONX,46,2,,False,25-44,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,1012007.3125,250171.90625,40.853303637000074,-73.89966526999996,POINT (-73.89966526999996 40.853303637000074)
203041430,2019-09-28,01:17:00,BRONX,42,0,,True,,,,18-24,M,BLACK,1012859.5,244801.09375,40.83855962300004,-73.89660772999997,POINT (-73.89660772999997 40.83855962300004)
193418294,2019-02-09,02:00:00,MANHATTAN,23,0,,False,18-24,M,BLACK,18-24,M,BLACK,998391.125,229755.953125,40.797299958000046,-73.94892760899995,POINT (-73.94892760899995 40.79729995800005)
195699915,2019-04-07,05:15:00,QUEENS,110,0,,False,,,,18-24,M,BLACK HISPANIC,1018766.5625,207198.625,40.73532988900007,-73.87545305199995,POINT (-73.87545305199995 40.73532988900007)
197691092,2019-05-27,20:50:00,BROOKLYN,79,0,,False,,,,<18,M,BLACK,1000285.8125,186744.65625,40.67924139200005,-73.94218704299993,POINT (-73.94218704299993 40.67924139200005)
193162778,2019-02-04,20:38:00,MANHATTAN,32,2,MULTI DWELL - PUBLIC HOUS,False,,,,25-44,M,BLACK,998842.0,235648.578125,40.81347285700008,-73.94728636599997,POINT (-73.94728636599996 40.81347285700008)
193462347,2019-02-11,08:50:00,BROOKLYN,75,0,,False,<18,M,BLACK,<18,M,BLACK,1020930.0625,185590.046875,40.67601078500008,-73.86776406599995,POINT (-73.86776406599995 40.676010785000074)
195013385,2019-03-21,04:07:00,BROOKLYN,75,0,MULTI DWELL - APT BUILD,False,,,,25-44,M,BLACK,1018016.9375,180049.140625,40.660813836000045,-73.87829407799995,POINT (-73.87829407799995 40.660813836000045)
195907494,2019-04-11,03:10:00,MANHATTAN,32,0,,False,25-44,M,BLACK,25-44,M,BLACK,1001288.0625,238999.015625,40.82266448800005,-73.93844121399997,POINT (-73.93844121399997 40.82266448800004)
200656489,2019-08-03,02:45:00,BRONX,46,0,,True,25-44,M,BLACK,25-44,M,BLACK,1005911.875,249926.453125,40.85264700000005,-73.92169962999996,POINT (-73.92169962999998 40.85264700000005)
198107752,2019-06-05,12:20:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,<18,M,BLACK,1007372.625,232751.5,40.80550297600007,-73.91647860799996,POINT (-73.91647860799998 40.80550297600007)
206526480,2019-12-15,03:36:00,BROOKLYN,79,0,,False,18-24,M,BLACK,18-24,M,BLACK,998809.5625,192148.34375,40.69407582900004,-73.94749773399997,POINT (-73.94749773399997 40.69407582900004)
192258907,2019-01-13,04:00:00,BROOKLYN,79,0,,False,,,,25-44,M,BLACK,998234.0,186890.0,40.67964380700005,-73.94958420199998,POINT (-73.94958420199998 40.67964380700005)
203676928,2019-10-12,06:55:00,BROOKLYN,77,0,BAR/NIGHT CLUB,False,25-44,M,BLACK,25-44,F,BLACK,1003550.0625,185644.921875,40.67621635600005,-73.93042149699994,POINT (-73.93042149699994 40.676216356000054)
196000892,2019-04-14,14:03:00,BRONX,52,0,,False,,,,18-24,M,BLACK,1010728.3125,252491.078125,40.85967299600002,-73.90427939199996,POINT (-73.90427939199998 40.85967299600003)
197660695,2019-05-25,23:58:00,BROOKLYN,75,0,,False,,,,25-44,M,BLACK,1014556.875,181661.484375,40.66525187900004,-73.89075804199997,POINT (-73.89075804199997 40.66525187900004)
193267668,2019-02-06,22:26:00,BROOKLYN,81,0,,True,,,,45-64,F,BLACK,1004227.625,186741.578125,40.67922492600008,-73.92797552099995,POINT (-73.92797552099995 40.679224926000074)
197293452,2019-05-16,22:01:00,BRONX,47,0,,False,18-24,M,BLACK,18-24,M,BLACK,1020808.3125,262493.1875,40.88708970100004,-73.867784536,POINT (-73.86778453599999 40.887089701000036)
201614529,2019-08-26,21:25:00,QUEENS,105,0,,True,,,,18-24,M,BLACK,1057799.875,176534.734375,40.650926519000045,-73.73494199899993,POINT (-73.73494199899996 40.65092651900005)
206873687,2019-12-27,23:27:00,BRONX,46,0,,True,25-44,M,BLACK HISPANIC,18-24,M,BLACK,1010590.875,250447.0625,40.85406319800006,-73.90478427499994,POINT (-73.90478427499994 40.85406319800006)
196276903,2019-04-19,00:12:00,QUEENS,113,0,,False,25-44,M,BLACK,25-44,M,BLACK,1053636.875,190565.640625,40.68947166600003,-73.74980013299995,POINT (-73.74980013299995 40.68947166600003)
206681438,2019-12-18,23:22:00,MANHATTAN,32,0,,False,25-44,M,BLACK,25-44,M,BLACK,999650.9375,234170.078125,40.80941341300007,-73.94436738999997,POINT (-73.94436738999997 40.80941341300007)
193226256,2019-02-06,04:52:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1001019.875,196399.875,40.70574137600005,-73.93951647099993,POINT (-73.93951647099993 40.70574137600005)
192258908,2019-01-13,22:11:00,QUEENS,113,0,,True,,,,25-44,M,BLACK,1051143.625,193462.890625,40.69744311400007,-73.75876169699995,POINT (-73.75876169699995 40.697443114000066)
197953467,2019-06-01,22:12:00,BRONX,41,0,,False,<18,M,BLACK,<18,M,BLACK,1015286.75,235983.609375,40.814349959000026,-73.88787652999997,POINT (-73.88787652999997 40.814349959000026)
192834302,2019-01-27,10:44:00,QUEENS,113,0,,False,25-44,M,BLACK,18-24,M,BLACK,1045307.9375,188293.390625,40.68329625600006,-73.77985380599995,POINT (-73.77985380599995 40.68329625600006)
204468719,2019-11-04,02:41:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,WHITE,999925.3125,214506.8125,40.755442491000046,-73.94342211899993,POINT (-73.94342211899993 40.75544249100005)
198858227,2019-06-23,00:30:00,MANHATTAN,30,0,,False,,,,25-44,M,WHITE HISPANIC,997736.375,240028.859375,40.82549725300004,-73.95127174599997,POINT (-73.95127174599997 40.82549725300004)
206832369,2019-12-23,20:51:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,False,,,,<18,F,BLACK,984687.875,150503.21875,40.57978079600008,-73.99842510499997,POINT (-73.99842510499997 40.57978079600008)
198255461,2019-06-07,22:25:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK,999381.875,190050.90625,40.68831788700004,-73.94543861099999,POINT (-73.94543861099999 40.68831788700004)
198948494,2019-06-25,00:01:00,BRONX,48,0,,False,18-24,M,BLACK,25-44,M,BLACK,1014014.875,251634.4375,40.85731130700003,-73.89240191599998,POINT (-73.89240191599998 40.85731130700003)
200263247,2019-07-25,02:17:00,QUEENS,113,0,,False,25-44,M,UNKNOWN,25-44,M,BLACK,1052412.375,191418.515625,40.69182211700007,-73.75420688999996,POINT (-73.75420688999998 40.69182211700007)
205748546,2019-11-27,15:54:00,BRONX,40,0,,False,<18,M,BLACK,<18,M,BLACK,1006789.0,237559.0,40.81869973000005,-73.91857061799993,POINT (-73.91857061799993 40.81869973000005)
197700944,2019-05-28,01:20:00,BROOKLYN,69,0,,False,,,,18-24,M,BLACK,1014401.0,169812.0,40.63272816400007,-73.89137286999994,POINT (-73.89137286999994 40.63272816400007)
195396612,2019-03-30,00:50:00,QUEENS,113,0,,False,,,,25-44,M,BLACK,1046315.0,187088.0,40.67998073800004,-73.77623390699993,POINT (-73.77623390699995 40.67998073800004)
202770948,2019-09-21,20:45:00,BROOKLYN,67,0,,False,25-44,M,BLACK,65+,M,BLACK,998552.6875,172619.765625,40.64047464800007,-73.94846548699996,POINT (-73.94846548699996 40.640474648000065)
205280613,2019-11-17,14:45:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,False,,,,<18,M,BLACK HISPANIC,1000101.5,229680.1875,40.79708909900006,-73.94275038599993,POINT (-73.94275038599994 40.79708909900006)
202853371,2019-09-24,17:45:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,18-24,M,BLACK,1006117.25,183402.46875,40.67005535800007,-73.92117363699998,POINT (-73.92117363699998 40.67005535800007)
201765787,2019-08-30,01:47:00,QUEENS,103,0,,False,25-44,M,BLACK,25-44,M,BLACK,1039614.125,192065.296875,40.69368669200002,-73.80035207899994,POINT (-73.80035207899994 40.69368669200003)
198900607,2019-06-24,00:05:00,BROOKLYN,60,0,,False,,,,18-24,M,BLACK,985896.9375,148507.09375,40.574301682000055,-73.99407301299993,POINT (-73.99407301299993 40.574301682000055)
197660693,2019-05-26,05:21:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,25-44,F,BLACK,1000552.5,225906.625,40.78673086700008,-73.94113066399996,POINT (-73.94113066399996 40.786730867000074)
196193416,2019-04-18,19:50:00,BROOKLYN,75,0,,False,,,,<18,M,BLACK,1017353.1875,185386.6875,40.675466707000055,-73.88066024399996,POINT (-73.88066024399996 40.675466707000055)
200408148,2019-07-29,14:15:00,BRONX,48,0,,False,,,,18-24,M,BLACK,1016041.8125,249486.21875,40.85140802400008,-73.885084765,POINT (-73.88508476499999 40.85140802400008)
198255470,2019-06-09,22:20:00,BRONX,42,0,,False,,,,18-24,M,BLACK,1015667.375,243850.453125,40.835940848000064,-73.88646463099997,POINT (-73.88646463099997 40.835940848000064)
201034738,2019-08-12,16:21:00,BROOKLYN,75,0,GROCERY/BODEGA,False,45-64,M,BLACK,25-44,M,BLACK,1012522.9375,180392.421875,40.66177531300008,-73.89809483699997,POINT (-73.89809483699997 40.66177531300008)
199526931,2019-07-09,10:00:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,<18,F,BLACK,1003111.5625,216850.734375,40.761869733000026,-73.93191492199996,POINT (-73.93191492199998 40.761869733000026)
195254733,2019-03-27,13:43:00,MANHATTAN,34,0,,True,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1003064.0,249581.0,40.85170536100002,-73.93199489299997,POINT (-73.93199489299997 40.85170536100003)
201851568,2019-08-30,22:35:00,QUEENS,106,0,,True,25-44,M,BLACK,25-44,M,BLACK,1038635.25,185105.453125,40.67458962200004,-73.80393817599997,POINT (-73.80393817599997 40.67458962200004)
193982311,2019-02-25,11:00:00,QUEENS,112,0,,False,18-24,M,BLACK,<18,M,WHITE HISPANIC,1026311.875,207207.046875,40.73532034100003,-73.84822679899997,POINT (-73.84822679899997 40.73532034100003)
198760073,2019-06-20,19:02:00,BROOKLYN,77,0,,False,25-44,M,BLACK HISPANIC,<18,M,BLACK,1002624.8125,183496.125,40.67032036000006,-73.93376303299993,POINT (-73.93376303299993 40.67032036000006)
199785879,2019-07-15,17:35:00,MANHATTAN,25,0,,False,18-24,M,BLACK,<18,M,BLACK,1000550.0,230489.0,40.79930825400004,-73.94112857099998,POINT (-73.94112857099998 40.79930825400004)
201573937,2019-08-23,17:58:00,BRONX,40,0,,False,45-64,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1006669.375,233630.84375,40.80791834300004,-73.91901592799996,POINT (-73.91901592799996 40.80791834300004)
